Search Parameters,Year,Mo,Dy,Hr,Mn,Sec,Tsunami Event Validity,Tsunami Cause Code,Earthquake_Magnitude,Vol,More Info,Deposits,Country,Location Name,Latitude,Longitude,Maximum_Water_Height,Number of Runups,Tsunami Magnitude (Abe),Tsunami Magnitude (Iida),Tsunami Intensity,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description
,1907,1,14,20,38,12,4,1,6.2,,,0,JAMAICA,JAMAICA,18.667,-76.237,2.5,10,,1.3,,,,,,,,,2,,,,,1000,3,,,,,30,4,,3,,
,1907,3,29,20,46,30,1,1,7.3,,,0,INDONESIA,"KARAKELONG, TALAUD ISLANDS",3,122,4,1,,2,2,,,,,,,,,,,,,,,,,,,,,,,,
,1907,4,14,6,8,6,3,1,8.1,,,0,MEXICO,S. MEXICO,17,-100,2,3,,1,,,,,,,,,,,,,,8,1,,,,,,2,,3,,
,1907,12,15,17,35,,2,1,7.4,,,0,PAPUA NEW GUINEA,BISMARCK SEA,-3.1,142.5,,1,,,,,,,,,,,2,,3,,,,,,,,,,2,,3,,
,1908,2,6,,,,3,1,7.5,,,0,INDONESIA,SW. SUMATRA,-2,100,1.4,1,,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,
,1908,2,14,11,25,0,1,3,6,,,0,USA,"PRINCE WILLIAM SOUND, AK",61,-146.2,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,1908,3,23,12,20,,-1,1,6.6,,,0,INDONESIA,TIMOR SEA,-10,129,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,1908,5,31,,,,1,1,6.5,,,0,UKRAINE,CRIMEA,44,34,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1908,9,21,6,31,,4,1,6.8,,,0,USA,HAWAII,19,-155,1.2,2,,-0.5,0,,,,,,,,,,,,,,,,,,,,,,,,
,1908,12,28,4,20,27,4,3,7,,,5,ITALY,"MESSINA STRAIT, IONIAN SEA",38.17,15.58,13,87,,,5,2000,4,,,,,,4,,4,,,80000,4,,,,,116,4,,4,,
,1909,3,12,23,19,,4,1,6.7,,,0,JAPAN,OFF BOSO PENINSULA,34.5,141.5,,1,,-1,,,,,,,,,,,,,,,,,,,,,1,,,,
,1909,3,13,14,29,,4,1,7.5,,,0,JAPAN,OFF BOSO PENINSULA,34.5,141.5,,1,,-1,,,,,,,,,,,,,,,,,,,,,1,,,,
,1909,6,3,18,40,48,2,1,7.6,,,0,INDONESIA,SUMATRA,-2,101,,4,,0.5,1,,,,,,,,,,,,,,3,,,,,,3,,3,,
,1909,6,8,5,46,30,0,1,7.6,,,0,CHILE,NORTHERN CHILE,-26.5,-70.5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1909,7,30,10,51,54,2,1,7.4,,,0,MEXICO,S. MEXICO,16.8,-99.8,9,1,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,
,1909,8,14,6,30,0,4,1,6.9,,,0,JAPAN,"ANEGAWA, JAPAN",35.4,136.3,1.8,1,,1,,,,,,,,,,,,,,41,1,,,,,,3,976,3,,
,1909,12,9,23,28,,4,1,8,,,0,USA TERRITORY,"GUAM, MARIANA ISLANDS",12.5,145,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,
,1910,2,25,,,,1,1,6,,,0,PAPUA NEW GUINEA,MATUPI HARBOR,-4.25,152.25,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,1910,11,10,12,19,54,3,1,7.2,,,0,VANUATU,VANUATU ISLANDS,-14,166.5,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,
,1910,12,18,2,42,,2,1,6.7,,,0,INDONESIA,SULAWESI,4,127,,1,,-1.3,-1,,,,,,,,,,,,,,,,,,,,1,,,,1
,1910,12,30,,,,1,1,6.2,,,0,PHILIPPINES,SULU SEA,9,125.5,,1,,,1,,,,,,,,,,,,,,,,,,,,1,,,,
,1911,2,18,21,35,12,3,1,6.7,,,0,ALBANIA,OCHRIDA LAKE,40.9,20.8,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1911,5,11,,,,2,0,6.6,,,0,TOGO,GOLD COAST,6.1,1.2,5,1,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
,1911,6,15,14,26,,4,1,8,,,0,JAPAN,RYUKYU ISLANDS,28,130,,2,,1,1.5,,,,,,,,2,,3,,,12,1,,,,,,3,422,3,,
,1911,7,12,4,7,36,1,1,7.8,,,0,PHILIPPINES,PHILIPPINE TRENCH,9,126,,4,,,,,,,,,,,,,,,,,,,,,,,3,,,,3
,1911,9,15,13,10,,2,1,7.3,,,0,CHILE,NORTHERN CHILE,-20,-72,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1911,9,22,5,1,24,1,3,6.9,,,0,USA,"PRINCE WILLIAM SOUND, AK",60.5,-149,,1,,,0.5,,,,,,,,,,,,,,,,,,,,1,,,,
,1912,1,24,16,22,51,2,1,6.8,,,0,GREECE,IONIAN SEA,38.12,20.67,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1912,6,8,4,42,,3,1,6.6,,,0,JAPAN,SANRIKU,40.5,142,0.5,1,,-1,0,,,,,,,,,,,,,,,,,,,,1,,,,
,1912,8,9,1,29,,2,1,7.8,,,0,TURKEY,MARMARA SEA,40.5,27.2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1912,10,31,17,24,,1,1,6.9,,,0,"MICRONESIA, FED. STATES OF",CAROLINE ISLANDS,7,138,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,1913,2,22,1,6,,3,1,6.8,,,0,NEW ZEALAND,TASMAN SEA,-41.8,171.5,1.5,4,,0.6,0.5,,,,,,,,,,,,,,,,,,,,1,,1,,
,1913,3,14,8,45,4.3,-1,4,7.8,585,,0,INDONESIA,SANGIHE ISLAND,5.354,126.121,,1,,,,,,,,,,,,,,,,138,3,,,,,,2,,3,,
,1913,7,28,6,40,,1,1,7,,,0,PERU,S. PERU,-16.6,-73.3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1913,8,6,22,14,24,2,1,7.9,,,0,PERU,S. PERU,-17,-74,,0,,,,,,,,,,,,,,,,,2,,,,,,3,,3,,3
,1913,10,2,4,23,28,2,3,6.7,,,0,PANAMA,OFF COAST,7.1,-80.6,,2,,,,,1,,,,,,,,1,,,,1,,,,,,1,,1,,3
,1913,10,11,4,6,3,4,1,7,,,0,PAPUA NEW GUINEA,SOLOMON SEA,-7,148,0.1,1,,-3.3,,,,,,,,,,,,,,,,,,,,,,,,,
,1914,1,12,9,28,,4,4,7.1,867,,2,JAPAN,SEIKAIDO,31.58,130.67,3,1,,1.6,-1,,,,,,,,1,,,,,63,2,,,112,3,19,3,2268,4,,
,1914,2,26,4,58,12,1,1,7.2,,,0,PERU,S. PERU,-17,-72,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1914,5,26,14,22,47.7,4,1,8.1,,,0,INDONESIA,NW. IRIAN JAYA,-1.829,136.943,0.1,5,,1.5,2,,1,,,,,,,,,,,,3,,,,,,2,,3,,
,1914,6,25,19,7,25.9,2,1,7.6,,,0,INDONESIA,INDONESIA,-3.924,101.82,,1,,,,,,,,,,,,,,,,20,1,,,20,1,,1,,1,,
,1914,11,27,14,39,46,1,3,6.3,,,0,GREECE,IONIAN SEA,38.8,20.6,3,1,,1.7,4,,,,,,,,,,,,,14,1,,,,,,3,,3,,2
,1915,1,27,1,9,56,2,1,6.6,,,0,GREECE,IONIAN SEA,38.4,20.6,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1915,8,7,15,4,3,3,1,6.7,,,0,GREECE,IONIAN SEA,38.5,20.7,1.5,2,,,3,,,,,,,,,,,,,,,,,,,,3,,3,,2
,1915,9,7,1,20,48,1,1,7.9,,,0,EL SALVADOR,EL SALVADOR,14,-89,,1,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,
,1915,11,1,7,23,43,4,1,7.8,,,0,JAPAN,SANRIKU,38.3,142.9,1,3,,,0.5,,,,,,,,,,,,,,,,,,,,1,,,,
,1915,11,6,,,,2,1,6,,,0,INDONESIA,NW. IRIAN JAYA,-1,136,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,1915,11,18,20,19,18,3,1,6.4,,,0,PHILIPPINES,W. LUZON ISLAND,18,119.5,,1,,,0.5,,,,,,,,,,,,,,,,,,,,1,,,,1
,1916,1,1,13,20,49.3,3,1,7.9,,,0,PAPUA NEW GUINEA,BISMARCK SEA,-4.739,152.548,,1,,1.5,2,,,,,,,,1,,,,,,,,,,,,1,,1,,1
,1916,4,26,2,21,52,4,1,7,,,0,PANAMA,BOCAS DEL TORO,9.6,-82,1.3,6,,,,,,,,,,,1,,,,,,,,,,,0.025,1,,,,
,1917,1,20,23,11,34,3,1,6.6,,,0,INDONESIA,BALI SEA,-7,116,2,2,,1,,,,,,,,,,,,,,1500,4,,,,,,2,,2,,
,1917,1,25,,,,3,1,6.5,,,0,CHINA,SOUTH CHINA SEA,24.47,118.08,,2,,1,1,,,,,,,,1,,,,,,,,,,,,1,,,,
,1917,1,30,2,45,36,2,1,7.8,,,0,RUSSIA,KAMCHATKA,56.5,163,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1917,1,31,3,39,55,3,1,6.4,,,0,PHILIPPINES,CELEBES SEA,6,125,1.5,1,,0.6,,,,,,,,,,,,,,7,1,,,2,1,,2,,2,,
,1917,5,1,18,27,,4,1,8,,,0,NEW ZEALAND,KERMADEC ISLANDS,-29.2,-177,0.3,6,,3.6,3,,,,,,,,,,,,,,,,,,,,,,,,
,1917,6,26,5,49,42,4,1,8.3,,,1,SAMOA,SAMOA ISLANDS,-15.5,-173,12.2,17,,3.6,3,2,1,,,,,,2,,3,,,2,1,,,,,,2,,3,,
,1917,7,29,21,52,31,2,1,7.5,,,0,PAPUA NEW GUINEA,BISMARCK SEA,-3.705,141.729,0.9,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,1917,11,16,3,19,28,2,1,7.5,,,0,NEW ZEALAND,KERMADEC ISLANDS,-29,-177.5,2.5,1,,1.3,1,,,,,,,,,,,,,,,,,,,,,,,,
,1918,2,13,6,7,13,3,3,7.5,,,0,CHINA,GUANGDONG PROVINCE,23.5,117.2,,1,,1,-1,,,,,,,,,,,,,2000,4,,,,4,,4,,4,,
,1918,5,20,17,55,10,2,1,7.9,,,0,CHILE,NORTHERN CHILE,-28.5,-71.5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1918,8,15,12,18,12,4,1,8.3,,,0,PHILIPPINES,CELEBES SEA,5.5,123,7.2,10,,2.8,2.5,6,1,,,,,,2,,,,,52,2,,,,,,3,,,,
,1918,9,7,17,16,,4,1,8.2,,,0,RUSSIA,S. KURIL ISLANDS,45.5,151.5,12,22,,3.6,3,23,1,,,7,1,,2,,2,19,1,23,1,,,7,1,,2,,2,19,1
,1918,10,11,14,14,42,4,3,7.1,,,4,USA TERRITORY,PUERTO RICO: MONA PASSAGE,18.7,-67.189,6.1,21,,2.6,,140,3,,,,,4,2,,,,,144,3,,,,,4,2,,,,
,1918,10,25,3,43,,3,1,6.4,,,0,USA TERRITORY,PUERTO RICO,18.441,-67.214,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1918,11,8,4,38,,4,1,7.8,,,0,RUSSIA,S. KURIL ISLANDS,44.5,151.5,0.5,8,,1,2,,,,,,,,,,,,,,,,,,,,,,,,
,1918,12,4,11,47,48,4,1,7.8,,,0,CHILE,NORTHERN CHILE,-26,-71,5,4,,2.3,2.5,,,,,,,,1,,,,,,1,,,,,,3,,3,,
,1919,1,1,1,33,42,1,1,7.4,,,0,PHILIPPINES,"MINDANAO ISLAND, PHILIPPINES",8,126,0.44,3,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,1919,1,1,2,59,57,1,1,8.3,,,0,TONGA,TONGA ISLANDS,-19.6,-176.6,0.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1919,4,30,7,17,17.3,4,1,8.1,,,1,TONGA,TONGA ISLANDS,-18.352,-172.515,2.5,9,,1.3,1.5,,,,,,,,,,,,,,,,,,,,,,,,
,1919,5,6,19,41,13,3,1,8.2,,,0,PAPUA NEW GUINEA,SOLOMON SEA,-4.806,153.859,,2,,2.6,1,,,,,,,,,,,,,,,,,,,,1,,,,1
,1919,6,29,23,14,13.4,3,1,6.6,,,0,NICARAGUA,GULF OF FONSECA,12.33,-88.291,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,2,2,11,22,18,1,1,7.7,,,0,PAPUA NEW GUINEA,SOLOMON SEA,-6.5,150,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,,
,1920,8,20,16,15,38,3,1,7,,,0,CHILE,CENTRAL CHILE,-38,-73.5,1.4,1,,0.5,1,,,,,,,,,,,,,,,,,,,,2,,2,,2
,1920,9,20,14,39,,3,1,7.8,,,0,VANUATU,VANUATU ISLANDS,-19.919,168.53,,2,,1,,,,,,,,,1,,,,,,,,,,,,1,,,,
,1920,12,16,12,5,53,0,1,7.8,,,0,CHINA,CHINA: GANSU AND SHANXI PROVINCES,36.7,104.9,0.75,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1921,5,14,11,17,45,2,1,6.2,,,0,INDONESIA,MAKASSAR STRAIT,0.7,117.9,1,1,,,0.5,,,,,,,,2,,,,,,,,,,,,2,,1,,1
